CCAA,Total_Ingresados,PercCamasCovid,UCI,PerCamasUCI,Ingresos24h,Altas24h,fecha
Comunidad Foral de Navarra,114,6,15,122,17,15,2021-01-15
Comunidad Valenciana,3614,3034,540,4809,526,413,2021-01-15
España,19657,1569,2953,2956,2816,1997,2021-01-15
Extremadura,505,1583,56,2605,62,40,2021-01-15
Galicia,601,71,96,1292,92,44,2021-01-15
Islas Baleares,488,146,126,4104,64,44,2021-01-15
Islas Canarias,289,54,59,1332,22,26,2021-01-15
La Rioja,132,163,27,45,19,11,2021-01-15
Melilla,10,549,5,2941,1,2,2021-01-15
País Vasco,547,1132,75,1773,59,64,2021-01-15
Principado de Asturias,298,854,57,177,42,33,2021-01-15
Región de Murcia,640,1617,99,2124,122,77,2021-01-15
Andalucía,2756,1572,377,2131,377,152,2021-01-18
Aragón,592,141,62,265,73,21,2021-01-18
Cantabria,204,1267,31,2541,19,8,2021-01-18
Castilla y León,1204,172,172,3156,160,44,2021-01-18
Castilla-La Mancha,1488,2886,165,3793,177,50,2021-01-18
Cataluña,4676,1866,668,4607,382,187,2021-01-18
Ceuta,20,10,4,2353,0,1,2021-01-18
Comunidad de Madrid,3550,2118,521,4205,352,150,2021-01-18
Comunidad Foral de Navarra,132,694,14,1138,20,2,2021-01-18
Comunidad Valenciana,4378,3728,602,5276,571,202,2021-01-18
España,23184,1861,3287,3271,2574,984,2021-01-18
Extremadura,615,1927,68,3148,45,17,2021-01-18
Galicia,771,929,109,1493,101,22,2021-01-18
Islas Baleares,555,1658,132,4272,55,24,2021-01-18
Islas Canarias,303,565,67,1512,28,8,2021-01-18
La Rioja,179,221,28,4667,19,7,2021-01-18
Melilla,16,879,4,2353,4,0,2021-01-18
País Vasco,588,123,83,2015,45,34,2021-01-18
Principado de Asturias,338,968,65,2019,30,4,2021-01-18
Región de Murcia,819,2055,115,2468,116,51,2021-01-18
Andalucía,2956,1683,410,2294,524,311,2021-01-19
Aragón,628,1496,62,2627,114,83,2021-01-19
Cantabria,203,1261,29,2377,29,21,2021-01-19
Castilla y León,1339,1898,178,3179,244,111,2021-01-19
Castilla-La Mancha,1588,3009,190,4338,219,140,2021-01-19
Cataluña,4730,1877,679,4676,504,487,2021-01-19
Ceuta,21,105,4,2353,1,0,2021-01-19
Comunidad de Madrid,3674,2136,538,4213,456,367,2021-01-19
Comunidad Foral de Navarra,140,735,16,129,15,6,2021-01-19
Comunidad Valenciana,4485,3818,609,538,669,516,2021-01-19
España,24185,1925,3416,3369,3378,2455,2021-01-19
Extremadura,664,2081,73,338,82,45,2021-01-19
Galicia,831,992,117,159,111,69,2021-01-19
Islas Baleares,561,1677,131,4239,65,56,2021-01-19
Islas Canarias,307,573,65,1467,37,20,2021-01-19
La Rioja,179,221,30,50,26,21,2021-01-19
Melilla,20,1099,9,5294,9,2,2021-01-19
País Vasco,623,1258,94,2222,88,85,2021-01-19
Principado de Asturias,367,1051,61,1894,59,27,2021-01-19
Región de Murcia,869,2178,121,2574,126,88,2021-01-19
Andalucía,3109,1769,430,2393,529,363,2021-01-20
Aragón,641,1523,67,2863,97,81,2021-01-20
Cantabria,194,1205,25,2049,18,22,2021-01-20
Castilla y León,1481,2094,193,3484,270,99,2021-01-20
Castilla-La Mancha,1612,3004,198,447,185,149,2021-01-20
Cataluña,4859,1916,697,4729,568,486,2021-01-20
Ceuta,23,115,3,1765,2,3,2021-01-20
Comunidad de Madrid,3895,2251,592,4492,614,362,2021-01-20
Comunidad Foral de Navarra,148,777,18,1452,23,13,2021-01-20
Comunidad Valenciana,4655,386,636,553,638,555,2021-01-20
España,25228,1995,3583,3502,3635,2563,2021-01-20
Extremadura,661,2071,73,338,96,80,2021-01-20
Galicia,880,1038,136,1821,158,63,2021-01-20
Islas Baleares,560,168,134,4393,51,42,2021-01-20
Islas Canarias,313,584,62,14,33,19,2021-01-20
La Rioja,196,242,31,5167,34,16,2021-01-20
Melilla,25,1374,9,5294,5,0,2021-01-20
País Vasco,648,1301,95,2267,103,83,2021-01-20
Principado de Asturias,382,1095,54,1677,65,34,2021-01-20
Región de Murcia,946,2372,130,2766,146,93,2021-01-20
Andalucía,3357,1909,454,2522,568,331,2021-01-21
Aragón,647,1531,70,2979,75,76,2021-01-21
Cantabria,192,1193,24,1967,29,27,2021-01-21
Castilla y León,1588,2224,207,3716,267,122,2021-01-21
Castilla-La Mancha,1717,3196,207,4641,274,174,2021-01-21
Cataluña,4904,1934,710,4768,495,512,2021-01-21
Ceuta,25,125,3,1765,2,0,2021-01-21
Comunidad de Madrid,4403,246,621,46,682,457,2021-01-21
Comunidad Foral de Navarra,152,795,20,1626,17,12,2021-01-21
Comunidad Valenciana,4735,3925,667,575,651,501,2021-01-21
España,26542,2087,3734,3628,3745,2653,2021-01-21
Extremadura,700,2194,77,3565,101,60,2021-01-21
Galicia,937,1103,138,1857,109,75,2021-01-21
Islas Baleares,567,1705,132,4328,54,34,2021-01-21
Islas Canarias,302,563,59,1332,19,26,2021-01-21
La Rioja,211,2605,36,60,35,13,2021-01-21
Melilla,31,1703,8,4706,10,3,2021-01-21
País Vasco,669,1346,100,2398,97,84,2021-01-21
Principado de Asturias,403,1156,63,1957,72,28,2021-01-21
Región de Murcia,1002,2506,138,2936,188,118,2021-01-21
Andalucía,3525,2001,489,2709,577,375,2021-01-22
Aragón,677,161,77,3249,111,74,2021-01-22
Cantabria,207,1286,27,2213,34,15,2021-01-22
Castilla y León,1740,243,208,3708,300,127,2021-01-22
Castilla-La Mancha,1759,3259,223,4945,214,163,2021-01-22
Cataluña,5016,1978,753,4951,545,431,2021-01-22
Ceuta,26,13,3,1765,2,1,2021-01-22
Comunidad de Madrid,4613,2579,633,4624,601,444,2021-01-22
Comunidad Foral de Navarra,167,87,23,1811,24,9,2021-01-22
Comunidad Valenciana,4811,3996,695,5865,662,571,2021-01-22
España,27462,2163,3908,3761,3713,2685,2021-01-22
Extremadura,660,2239,83,3915,58,72,2021-01-22
Galicia,1002,1178,145,1952,147,78,2021-01-22
Islas Baleares,560,1687,129,423,58,59,2021-01-22
Islas Canarias,296,552,59,1332,30,25,2021-01-22
La Rioja,220,2716,39,65,24,19,2021-01-22
Melilla,34,1868,9,5294,7,4,2021-01-22
País Vasco,705,1422,99,2324,99,76,2021-01-22
Principado de Asturias,424,1218,60,1917,74,32,2021-01-22
Región de Murcia,1020,2544,154,3235,146,110,2021-01-22
Andalucía,4142,2346,574,3175,488,228,2021-01-25
Aragón,784,1866,80,339,69,20,2021-01-25
Cantabria,219,136,33,2705,12,9,2021-01-25
Castilla y León,2110,2923,258,4448,218,55,2021-01-25
Castilla-La Mancha,1921,3534,247,5289,147,66,2021-01-25
Cataluña,5287,2081,784,4987,321,226,2021-01-25
Ceuta,30,1508,5,2941,1,2,2021-01-25
Comunidad de Madrid,5051,2818,678,4963,445,212,2021-01-25
Comunidad Foral de Navarra,184,951,27,2045,13,4,2021-01-25
Comunidad Valenciana,5276,4352,734,6137,583,327,2021-01-25
España,30483,2394,4284,4038,2842,1350,2021-01-25
Extremadura,730,246,97,4575,73,27,2021-01-25
Galicia,1198,1433,161,2173,133,33,2021-01-25
Islas Baleares,584,1756,134,4309,44,19,2021-01-25
Islas Canarias,310,578,69,1558,37,11,2021-01-25
La Rioja,253,3056,50,641,19,8,2021-01-25
Melilla,39,2143,10,5882,4,2,2021-01-25
País Vasco,786,1573,113,2622,63,25,2021-01-25
Principado de Asturias,486,1391,69,2136,50,13,2021-01-25
Región de Murcia,1093,2667,161,2896,122,63,2021-01-25
Andalucía,4211,2378,615,3368,684,529,2021-01-26
Aragón,774,1837,78,3305,97,110,2021-01-26
Cantabria,221,1373,35,2869,43,29,2021-01-26
Castilla y León,2221,3076,264,4591,276,166,2021-01-26
Castilla-La Mancha,1912,3549,259,5476,202,210,2021-01-26
Cataluña,5309,2079,799,4675,450,532,2021-01-26
Ceuta,29,145,5,2941,1,1,2021-01-26
Comunidad de Madrid,5016,279,702,5043,546,597,2021-01-26
Comunidad Foral de Navarra,181,933,31,2348,21,17,2021-01-26
Comunidad Valenciana,5403,4373,746,617,657,683,2021-01-26
España,30815,241,4433,4127,3710,3512,2021-01-26
Extremadura,709,2389,91,4292,58,76,2021-01-26
Galicia,1281,1532,176,2375,184,92,2021-01-26
Islas Baleares,579,1736,141,4462,65,78,2021-01-26
Islas Canarias,321,598,72,1625,38,18,2021-01-26
La Rioja,257,307,47,5402,34,34,2021-01-26
Melilla,35,1923,9,5294,6,8,2021-01-26
País Vasco,774,1526,118,2713,106,114,2021-01-26
Principado de Asturias,509,1457,74,2291,82,48,2021-01-26
Región de Murcia,1073,2609,171,3592,160,170,2021-01-26
Andalucía,4441,2504,624,3401,660,511,2021-01-27
Aragón,767,1823,78,3305,85,84,2021-01-27
Cantabria,217,1348,33,2705,27,21,2021-01-27
Castilla y León,2250,3103,278,4826,274,212,2021-01-27
Castilla-La Mancha,1894,3465,265,5453,200,214,2021-01-27
Cataluña,5231,2045,798,4661,457,543,2021-01-27
Ceuta,29,145,5,2941,1,1,2021-01-27
Comunidad de Madrid,5009,277,703,5029,589,598,2021-01-27
Comunidad Foral de Navarra,170,875,30,2256,15,24,2021-01-27
Comunidad Valenciana,5239,4216,767,6297,593,701,2021-01-27
España,30789,2403,4515,419,3597,3531,2021-01-27
Extremadura,672,2335,107,5169,61,64,2021-01-27
Galicia,1295,155,186,251,198,144,2021-01-27
Islas Baleares,557,1665,141,4534,38,56,2021-01-27
Islas Canarias,318,593,71,1606,30,24,2021-01-27
La Rioja,257,307,48,5517,31,27,2021-01-27
Melilla,38,2088,10,5882,7,4,2021-01-27
País Vasco,774,1527,124,2831,104,118,2021-01-27
Principado de Asturias,558,1598,80,2477,84,50,2021-01-27
Región de Murcia,1073,2601,167,3508,143,135,2021-01-27
Andalucía,4534,256,653,357,664,548,2021-01-28
Aragón,748,1779,85,3602,91,97,2021-01-28
Cantabria,211,1311,34,2787,26,23,2021-01-28
Castilla y León,2296,3138,290,4915,296,205,2021-01-28
Castilla-La Mancha,1870,3423,265,5453,166,190,2021-01-28
Cataluña,5151,2025,803,5063,384,472,2021-01-28
Ceuta,24,1194,5,2941,1,6,2021-01-28
Comunidad de Madrid,5021,2781,724,516,590,573,2021-01-28
Comunidad Foral de Navarra,171,881,32,2406,20,15,2021-01-28
Comunidad Valenciana,5095,4154,762,6298,569,648,2021-01-28
España,30726,24,4608,4284,3506,3409,2021-01-28
Extremadura,684,2305,103,4858,50,76,2021-01-28
Galicia,1337,16,204,2632,203,143,2021-01-28
Islas Baleares,559,1677,139,4469,50,43,2021-01-28
Islas Canarias,312,582,69,1558,34,29,2021-01-28
La Rioja,255,3047,51,5862,29,29,2021-01-28
Melilla,35,1923,9,5294,2,5,2021-01-28
País Vasco,789,1537,126,2577,103,101,2021-01-28
Principado de Asturias,577,1649,85,2632,88,64,2021-01-28
Región de Murcia,1057,2552,169,3463,140,142,2021-01-28
Andalucía,4575,2582,680,3716,611,551,2021-01-29
Aragón,736,1747,87,3686,101,104,2021-01-29
Cantabria,220,1366,38,3115,28,13,2021-01-29
Castilla y León,2297,3137,292,50,275,244,2021-01-29
Castilla-La Mancha,1857,34,266,5485,168,187,2021-01-29
Cataluña,5183,2041,813,5133,457,474,2021-01-29
Ceuta,27,1343,4,2353,4,3,2021-01-29
Comunidad de Madrid,5008,2783,732,5166,531,564,2021-01-29
Comunidad Foral de Navarra,169,87,32,2406,7,11,2021-01-29
Comunidad Valenciana,5083,4077,781,6329,573,608,2021-01-29
España,30804,24,4723,4395,3413,3300,2021-01-29
Extremadura,669,2254,103,4858,42,77,2021-01-29
Galicia,1324,1584,227,2929,167,123,2021-01-29
Islas Baleares,571,171,137,4405,45,48,2021-01-29
Islas Canarias,312,581,72,1614,40,26,2021-01-29
La Rioja,257,307,52,5977,30,27,2021-01-29
Melilla,45,2473,11,6471,11,1,2021-01-29
País Vasco,828,1543,131,2944,100,70,2021-01-29
Principado de Asturias,572,1638,91,2817,83,70,2021-01-29
Región de Murcia,1071,2586,174,3566,140,99,2021-01-29
Andalucía,4962,2801,707,3844,519,315,2021-02-01
Aragón,770,1834,88,3729,54,37,2021-02-01
Cantabria,224,1384,38,2923,16,8,2021-02-01
Castilla y León,2420,3261,324,5427,202,86,2021-02-01
Castilla-La Mancha,1870,3424,276,5587,147,73,2021-02-01
Cataluña,5206,2052,824,5225,294,224,2021-02-01
Ceuta,31,1542,4,2353,3,1,2021-02-01
Comunidad de Madrid,5233,2915,736,5227,314,178,2021-02-01
Comunidad Foral de Navarra,182,937,35,2632,20,5,2021-02-01
Comunidad Valenciana,5207,4174,787,6321,403,261,2021-02-01
España,32023,2496,4894,453,2485,1400,2021-02-01
Extremadura,621,209,103,4769,30,16,2021-02-01
Galicia,1462,1717,251,3202,165,45,2021-02-01
Islas Baleares,564,1683,145,4662,33,16,2021-02-01
Islas Canarias,334,622,81,1816,31,9,2021-02-01
La Rioja,252,3011,62,7126,15,7,2021-02-01
Melilla,44,2418,11,6471,4,6,2021-02-01
País Vasco,906,18,149,3326,63,27,2021-02-01
Principado de Asturias,683,1952,100,304,71,10,2021-02-01
Región de Murcia,1052,2528,173,3531,101,76,2021-02-01
Andalucía,4939,2737,701,3682,539,597,2021-02-02
Aragón,789,1879,94,3983,98,92,2021-02-02
Cantabria,203,1255,34,2615,19,30,2021-02-02
Castilla y León,2364,3193,320,5351,229,245,2021-02-02
Castilla-La Mancha,1804,3297,279,5648,147,207,2021-02-02
Cataluña,5062,1995,804,5092,383,490,2021-02-02
Ceuta,29,1443,4,2353,1,3,2021-02-02
Comunidad de Madrid,5090,2827,734,5173,439,618,2021-02-02
Comunidad Foral de Navarra,179,92,34,2556,14,17,2021-02-02
Comunidad Valenciana,4958,3975,771,6173,477,729,2021-02-02
España,31118,2418,4853,4458,2910,3705,2021-02-02
Extremadura,608,2046,99,4583,48,43,2021-02-02
Galicia,1418,1666,257,3278,141,164,2021-02-02
Islas Baleares,545,1629,143,4598,35,40,2021-02-02
Islas Canarias,322,6,84,1883,31,30,2021-02-02
La Rioja,250,2987,63,7241,28,27,2021-02-02
Melilla,41,2253,12,7059,5,8,2021-02-02
País Vasco,857,1686,145,3237,95,140,2021-02-02
Principado de Asturias,680,1946,102,31,89,79,2021-02-02
Región de Murcia,980,2355,173,3531,92,146,2021-02-02
Andalucía,4908,2721,710,3715,542,584,2021-02-03
Aragón,759,1805,90,3814,86,112,2021-02-03
Cantabria,183,1131,34,2615,14,30,2021-02-03
Castilla y León,2321,3132,322,5376,194,223,2021-02-03
Castilla-La Mancha,1737,3194,279,5648,136,198,2021-02-03
Cataluña,4913,1934,797,5022,374,525,2021-02-03
Ceuta,30,1493,5,2941,4,3,2021-02-03
Comunidad de Madrid,4997,277,733,5177,583,616,2021-02-03
Comunidad Foral de Navarra,177,91,32,2388,14,16,2021-02-03
Comunidad Valenciana,4612,3775,763,6223,391,635,2021-02-03
España,30256,2355,4836,4444,2941,3613,2021-02-03
Extremadura,576,1938,94,4352,47,65,2021-02-03
Galicia,1359,1603,245,3125,138,159,2021-02-03
Islas Baleares,537,1603,145,4723,40,55,2021-02-03
Islas Canarias,333,619,87,1921,27,14,2021-02-03
La Rioja,256,3059,61,7011,32,33,2021-02-03
Melilla,42,2308,12,7059,3,2,2021-02-03
País Vasco,869,1711,148,3318,111,113,2021-02-03
Principado de Asturias,693,1983,109,3273,103,74,2021-02-03
Región de Murcia,954,2292,170,3469,102,156,2021-02-03
Andalucía,4737,2626,692,3619,476,598,2021-02-04
Aragón,745,1772,88,3729,71,83,2021-02-04
Cantabria,182,1125,33,2538,23,20,2021-02-04
Castilla y León,2253,3044,328,5439,235,279,2021-02-04
Castilla-La Mancha,1665,3009,275,5544,111,180,2021-02-04
Cataluña,4785,1884,779,4971,337,494,2021-02-04
Ceuta,31,155,5,2941,2,1,2021-02-04
Comunidad de Madrid,4872,2702,748,5279,475,556,2021-02-04
Comunidad Foral de Navarra,178,915,31,2313,21,17,2021-02-04
Comunidad Valenciana,4416,3614,746,6095,388,572,2021-02-04
España,29276,2278,4823,4436,2628,3442,2021-02-04
Extremadura,544,1831,93,4326,29,57,2021-02-04
Galicia,1315,155,255,3253,122,162,2021-02-04
Islas Baleares,513,1534,144,4721,25,51,2021-02-04
Islas Canarias,329,612,89,1965,28,21,2021-02-04
La Rioja,246,2939,64,7356,23,32,2021-02-04
Melilla,39,2143,12,7059,1,4,2021-02-04
País Vasco,851,1682,148,3274,103,127,2021-02-04
Principado de Asturias,679,1941,117,3514,85,83,2021-02-04
Región de Murcia,896,2153,176,3592,73,105,2021-02-04
Andalucía,4649,2581,716,3737,482,584,2021-02-05
Aragón,736,1751,86,3644,88,93,2021-02-05
Cantabria,176,1088,31,2385,14,18,2021-02-05
Castilla y León,2232,3026,326,5397,231,245,2021-02-05
Castilla-La Mancha,1583,2865,271,5486,119,203,2021-02-05
Cataluña,4606,1812,768,483,369,489,2021-02-05
Ceuta,29,1457,6,3529,1,2,2021-02-05
Comunidad de Madrid,4877,2707,746,5239,497,510,2021-02-05
Comunidad Foral de Navarra,178,914,31,2313,16,16,2021-02-05
Comunidad Valenciana,4279,3433,740,5896,323,557,2021-02-05
España,28586,2221,4795,4386,2683,3344,2021-02-05
Extremadura,511,172,87,4047,35,66,2021-02-05
Galicia,1308,1542,253,3227,175,137,2021-02-05
Islas Baleares,469,1397,137,4492,19,63,2021-02-05
Islas Canarias,334,621,85,1876,29,27,2021-02-05
La Rioja,248,2963,59,6782,20,23,2021-02-05
Melilla,37,2033,9,5294,4,6,2021-02-05
País Vasco,841,1661,154,343,112,122,2021-02-05
Principado de Asturias,659,1884,125,3754,81,86,2021-02-05
Región de Murcia,834,2004,165,3367,68,97,2021-02-05
Andalucía,4540,2505,719,3723,327,209,2021-02-08
Aragón,758,1806,92,3898,52,17,2021-02-08
Cantabria,163,1007,32,2462,17,2,2021-02-08
Castilla y León,2203,2982,314,5173,126,71,2021-02-08
Castilla-La Mancha,1460,2644,260,5179,78,54,2021-02-08
Cataluña,4523,1785,744,4697,233,212,2021-02-08
Ceuta,31,1558,6,3529,0,0,2021-02-08
Comunidad de Madrid,4856,2699,739,5223,280,180,2021-02-08
Comunidad Foral de Navarra,166,851,31,2313,5,10,2021-02-08
Comunidad Valenciana,3883,3117,746,5897,237,191,2021-02-08
España,27739,2156,4732,4316,1676,1150,2021-02-08
Extremadura,415,1397,75,3488,13,15,2021-02-08
Galicia,1325,156,257,3266,90,40,2021-02-08
Islas Baleares,436,1301,120,3934,17,20,2021-02-08
Islas Canarias,309,574,82,179,15,17,2021-02-08
La Rioja,242,2891,57,6552,10,3,2021-02-08
Melilla,42,2308,9,5294,2,3,2021-02-08
País Vasco,869,1735,162,36,72,53,2021-02-08
Principado de Asturias,728,2081,122,3664,50,17,2021-02-08
Región de Murcia,790,1894,165,3367,52,36,2021-02-08
Andalucía,4352,2401,717,3711,440,625,2021-02-09
Aragón,728,173,88,3713,80,106,2021-02-09
Cantabria,156,964,31,2385,19,15,2021-02-09
Castilla y León,2113,2883,311,514,179,247,2021-02-09
Castilla-La Mancha,1367,2486,258,5202,76,168,2021-02-09
Cataluña,4261,1675,731,463,312,518,2021-02-09
Ceuta,28,1414,6,3529,1,5,2021-02-09
Comunidad de Madrid,4589,2562,715,506,368,618,2021-02-09
Comunidad Foral de Navarra,164,842,28,209,19,25,2021-02-09
Comunidad Valenciana,3572,2877,723,5812,277,528,2021-02-09
España,26101,2041,4594,4228,2218,3495,2021-02-09
Extremadura,374,1259,69,3209,23,58,2021-02-09
Galicia,1195,1546,225,3116,103,100,2021-02-09
Islas Baleares,402,1205,114,3738,26,55,2021-02-09
Islas Canarias,314,583,79,1725,35,28,2021-02-09
La Rioja,228,2724,59,6782,15,27,2021-02-09
Melilla,39,2143,9,5294,6,8,2021-02-09
País Vasco,816,1614,152,3363,102,137,2021-02-09
Principado de Asturias,703,201,122,3664,80,96,2021-02-09
Región de Murcia,700,1672,157,3204,57,131,2021-02-09
Andalucía,4116,2264,724,374,346,561,2021-02-10
Aragón,741,1759,92,3898,103,83,2021-02-10
Cantabria,152,939,32,2462,19,20,2021-02-10
Castilla y León,1946,2695,308,5133,136,274,2021-02-10
Castilla-La Mancha,1281,2359,246,495,59,150,2021-02-10
Cataluña,3993,1567,713,4559,305,479,2021-02-10
Ceuta,28,1414,6,3529,2,2,2021-02-10
Comunidad de Madrid,4448,248,728,513,416,505,2021-02-10
Comunidad Foral de Navarra,148,76,28,209,7,21,2021-02-10
Comunidad Valenciana,3325,2671,685,5493,270,457,2021-02-10
España,24821,1928,4548,4157,2120,3175,2021-02-10
Extremadura,356,1198,68,3148,19,41,2021-02-10
Galicia,1212,1421,242,3075,121,196,2021-02-10
Islas Baleares,374,1122,112,3672,23,54,2021-02-10
Islas Canarias,299,547,79,1674,26,36,2021-02-10
La Rioja,216,2581,57,6552,13,26,2021-02-10
Melilla,36,1978,9,5294,5,9,2021-02-10
País Vasco,822,1632,159,3502,114,113,2021-02-10
Principado de Asturias,695,1987,123,3694,84,76,2021-02-10
Región de Murcia,633,1511,137,2796,52,72,2021-02-10
Andalucía,3904,2146,713,3666,315,521,2021-02-11
Aragón,704,1675,90,3814,57,79,2021-02-11
Cantabria,150,927,26,20,15,20,2021-02-11
Castilla y León,1856,2551,304,5025,156,220,2021-02-11
Castilla-La Mancha,1160,2137,230,4637,50,161,2021-02-11
Cataluña,3782,1488,691,4447,292,462,2021-02-11
Ceuta,27,1364,6,3529,1,1,2021-02-11
Comunidad de Madrid,4340,2427,717,5046,351,456,2021-02-11
Comunidad Foral de Navarra,146,751,25,1866,10,13,2021-02-11
Comunidad Valenciana,3025,2439,650,5179,210,507,2021-02-11
España,23500,1827,4432,4051,1841,3016,2021-02-11
Extremadura,315,106,64,2977,15,52,2021-02-11
Galicia,1106,1301,237,3011,92,153,2021-02-11
Islas Baleares,357,1064,105,3512,25,36,2021-02-11
Islas Canarias,282,516,76,161,24,35,2021-02-11
La Rioja,209,2497,55,6322,12,21,2021-02-11
Melilla,35,1923,7,4118,5,4,2021-02-11
País Vasco,794,1574,164,3661,83,114,2021-02-11
Principado de Asturias,698,1995,125,3754,85,70,2021-02-11
Región de Murcia,610,1456,147,30,43,91,2021-02-11
Andalucía,3725,2049,698,3605,311,491,2021-02-12
Aragón,685,1626,88,3729,65,74,2021-02-12
Cantabria,145,896,23,1769,12,16,2021-02-12
Castilla y León,1754,2421,297,4909,144,229,2021-02-12
Castilla-La Mancha,1066,197,223,4598,46,148,2021-02-12
Cataluña,3636,143,691,441,262,409,2021-02-12
Ceuta,27,1357,7,4118,2,1,2021-02-12
Comunidad de Madrid,4214,2353,716,50,378,501,2021-02-12
Comunidad Foral de Navarra,137,705,25,1866,10,19,2021-02-12
Comunidad Valenciana,2785,2257,619,4992,179,403,2021-02-12
España,22311,1736,4350,3978,1715,2819,2021-02-12
Extremadura,289,973,59,2744,14,44,2021-02-12
Galicia,1031,1211,235,2986,76,114,2021-02-12
Islas Baleares,330,991,100,3344,23,44,2021-02-12
Islas Canarias,271,496,80,1695,19,24,2021-02-12
La Rioja,192,2294,55,6322,10,27,2021-02-12
Melilla,34,1868,8,4706,4,6,2021-02-12
País Vasco,773,1529,163,3606,72,98,2021-02-12
Principado de Asturias,651,1861,125,3754,50,86,2021-02-12
Región de Murcia,566,1351,138,2816,38,85,2021-02-12
Andalucía,3429,1894,664,3435,191,204,2021-02-15
Aragón,670,1594,89,3771,34,13,2021-02-15
Cantabria,150,927,27,2077,11,7,2021-02-15
Castilla y León,1611,2239,296,4901,68,59,2021-02-15
Castilla-La Mancha,911,1709,213,4401,35,46,2021-02-15
Cataluña,3652,1451,617,4006,191,171,2021-02-15
Ceuta,28,14,7,4118,1,1,2021-02-15
Comunidad de Madrid,4046,2287,689,4873,180,140,2021-02-15
Comunidad Foral de Navarra,130,669,24,1791,8,18,2021-02-15
Comunidad Valenciana,2469,2005,570,4604,111,117,2021-02-15
España,21030,1647,4128,3795,1073,968,2021-02-15
Extremadura,257,866,50,2358,8,8,2021-02-15
Galicia,986,1169,233,2961,73,72,2021-02-15
Islas Baleares,296,887,92,3077,10,6,2021-02-15
Islas Canarias,274,501,88,1864,12,4,2021-02-15
La Rioja,168,2007,48,5517,1,8,2021-02-15
Melilla,36,1978,8,4706,1,0,2021-02-15
País Vasco,758,1516,161,357,47,37,2021-02-15
Principado de Asturias,668,1913,131,3934,42,16,2021-02-15
Región de Murcia,491,1172,121,2469,49,41,2021-02-15
Andalucía,3230,178,644,3333,284,483,2021-02-16
Aragón,624,1483,86,3644,46,79,2021-02-16
Cantabria,143,884,29,2231,14,15,2021-02-16
Castilla y León,1475,206,286,4735,111,219,2021-02-16
Castilla-La Mancha,825,1538,202,4191,34,108,2021-02-16
Cataluña,3425,1353,658,4335,271,414,2021-02-16
Ceuta,27,135,6,3529,1,2,2021-02-16
Comunidad de Madrid,3794,2157,690,4929,286,506,2021-02-16
Comunidad Foral de Navarra,125,644,24,1832,10,16,2021-02-16
Comunidad Valenciana,2239,1828,535,4315,155,351,2021-02-16
España,19595,1535,4053,3739,1529,2714,2021-02-16
Extremadura,233,785,49,2311,15,35,2021-02-16
Galicia,939,1112,217,2757,83,117,2021-02-16
Islas Baleares,283,852,90,301,23,36,2021-02-16
Islas Canarias,278,509,83,1758,24,19,2021-02-16
La Rioja,133,1589,46,5287,4,33,2021-02-16
Melilla,33,1813,6,3529,2,5,2021-02-16
País Vasco,707,1414,151,3333,72,132,2021-02-16
Principado de Asturias,625,1789,132,3964,46,75,2021-02-16
Región de Murcia,457,1108,119,2429,48,69,2021-02-16
Andalucía,2996,165,626,3237,244,474,2021-02-17
Aragón,570,1355,83,3517,41,89,2021-02-17
Cantabria,138,853,23,1769,11,19,2021-02-17
Castilla y León,1371,1909,277,4594,90,190,2021-02-17
Castilla-La Mancha,754,1408,196,4075,43,116,2021-02-17
Cataluña,3246,1274,650,4271,290,438,2021-02-17
Ceuta,29,145,6,3529,2,0,2021-02-17
Comunidad de Madrid,3596,205,671,4807,302,465,2021-02-17
Comunidad Foral de Navarra,118,608,24,1832,6,14,2021-02-17
Comunidad Valenciana,2031,1665,497,4041,122,313,2021-02-17
España,18322,1434,3909,3612,1421,2509,2021-02-17
Extremadura,221,745,50,2358,9,29,2021-02-17
Galicia,874,1034,196,249,63,69,2021-02-17
Islas Baleares,263,793,83,2776,12,25,2021-02-17
Islas Canarias,275,504,87,1863,26,18,2021-02-17
La Rioja,121,1446,44,5057,4,19,2021-02-17
Melilla,29,1593,6,3529,2,8,2021-02-17
País Vasco,686,1355,150,3326,78,103,2021-02-17
Principado de Asturias,589,1686,130,3904,42,66,2021-02-17
Región de Murcia,415,998,110,2254,34,54,2021-02-17
Andalucía,2849,1571,629,3252,249,402,2021-02-18
Aragón,530,1261,79,3347,41,64,2021-02-18
Cantabria,127,785,23,1769,13,14,2021-02-18
Castilla y León,1247,1742,269,4476,84,182,2021-02-18
Castilla-La Mancha,699,1309,187,3888,26,77,2021-02-18
Cataluña,3116,1225,625,4139,250,384,2021-02-18
Ceuta,30,15,7,4118,3,2,2021-02-18
Comunidad de Madrid,3439,1968,677,4843,298,428,2021-02-18
Comunidad Foral de Navarra,111,572,24,1832,11,16,2021-02-18
Comunidad Valenciana,1836,1517,474,3892,113,266,2021-02-18
España,17259,1353,3822,3539,1344,2273,2021-02-18
Extremadura,199,672,47,2271,8,23,2021-02-18
Galicia,799,943,184,2338,61,126,2021-02-18
Islas Baleares,243,733,82,2742,12,36,2021-02-18
Islas Canarias,257,47,89,1886,16,27,2021-02-18
La Rioja,115,1374,38,4368,5,17,2021-02-18
Melilla,25,1374,6,3529,2,6,2021-02-18
País Vasco,665,1312,142,3128,78,96,2021-02-18
