Comunidad,Fecha,Casos,IA14,Fallecidos,CasosDiarios,FallecidosDiarios,number_file
Melilla,2020-05-24,121,2.31,2,0,0,115
País Vasco,2020-05-24,13476,11.82,1494,9,0,115
Principado de Asturias,2020-05-24,2397,3.13,308,20,1,115
Región de Murcia,2020-05-24,1579,4.48,149,4,0,115
Andalucía,2020-05-25,12450,1.96,1334,-150,-57,116
Aragón,2020-05-25,5600,20.01,826,-46,-32,116
Cantabria,2020-05-25,2283,6.54,202,-6,-7,116
Castilla y León,2020-05-25,18555,23.34,1913,-234,-48,116
Castilla-La Mancha,2020-05-25,16909,17.07,2788,20,-152,116
Cataluña,2020-05-25,57320,26.8,5575,172,-1126,116
Ceuta,2020-05-25,124,16.51,4,0,0,116
Comunidad de Madrid,2020-05-25,67932,28.57,8686,61,-291,116
Comunidad Foral de Navarra,2020-05-25,5195,19.87,490,-24,-19,116
Comunidad Valenciana,2020-05-25,11056,5.6,1331,-17,-62,116
España,2020-05-25,235400,14.56,26834,-372,-1918,116
Extremadura,2020-05-25,2952,3.18,506,-95,0,116
Galicia,2020-05-25,9079,2.96,607,-26,-6,116
Islas Baleares,2020-05-25,2035,7.48,211,-6,-11,116
Islas Canarias,2020-05-25,2317,2.65,150,-5,-7,116
La Rioja,2020-05-25,4041,10.42,358,5,0,116
Melilla,2020-05-25,121,2.31,2,0,0,116
País Vasco,2020-05-25,13478,11.46,1424,2,-70,116
Principado de Asturias,2020-05-25,2380,2.93,288,-17,-20,116
Región de Murcia,2020-05-25,1573,3.75,139,-6,-10,116
Andalucía,2020-05-26,12612,1.94,1404,162,70,117
Aragón,2020-05-26,5600,19.63,826,0,0,117
Cantabria,2020-05-26,2283,5.85,202,0,0,117
Castilla y León,2020-05-26,18591,23.67,1922,36,9,117
Castilla-La Mancha,2020-05-26,16992,19.53,2945,83,157,117
Cataluña,2020-05-26,57569,33.89,5583,249,8,117
Ceuta,2020-05-26,124,11.8,5,0,1,117
Comunidad de Madrid,2020-05-26,68066,27.76,8691,134,5,117
Comunidad Foral de Navarra,2020-05-26,5199,19.57,490,4,0,117
Comunidad Valenciana,2020-05-26,11089,5.92,1332,33,1,117
España,2020-05-26,236259,14.86,27117,859,283,117
Extremadura,2020-05-26,2955,3.37,507,3,1,117
Galicia,2020-05-26,9108,3.78,607,29,0,117
Islas Baleares,2020-05-26,2111,12.01,209,76,-2,117
Islas Canarias,2020-05-26,2323,2.79,150,6,0,117
La Rioja,2020-05-26,4044,11.36,360,3,2,117
Melilla,2020-05-26,121,2.31,2,0,0,117
País Vasco,2020-05-26,13486,10.42,1424,8,0,117
Principado de Asturias,2020-05-26,2399,2.54,310,19,22,117
Región de Murcia,2020-05-26,1587,3.61,148,14,9,117
Andalucía,2020-05-27,12609,1.68,1404,-3,0,118
Aragón,2020-05-27,5638,20.92,826,38,0,118
Cantabria,2020-05-27,2289,5.85,202,6,0,118
Castilla y León,2020-05-27,18631,23.63,1922,40,0,118
Castilla-La Mancha,2020-05-27,16984,19.73,2945,-8,0,118
Cataluña,2020-05-27,57749,34.12,5583,180,0,118
Ceuta,2020-05-27,129,15.33,4,5,-1,118
Comunidad de Madrid,2020-05-27,68266,26.61,8691,200,0,118
Comunidad Foral de Navarra,2020-05-27,5206,19.57,490,7,0,118
Comunidad Valenciana,2020-05-27,11100,5.7,1332,11,0,118
España,2020-05-27,236769,14.59,27118,510,1,118
Extremadura,2020-05-27,2955,2.72,507,0,0,118
Galicia,2020-05-27,9113,3.3,608,5,1,118
Islas Baleares,2020-05-27,2118,10.79,209,7,0,118
Islas Canarias,2020-05-27,2326,2.74,151,3,1,118
La Rioja,2020-05-27,4044,10.1,360,0,0,118
Melilla,2020-05-27,121,2.31,2,0,0,118
País Vasco,2020-05-27,13504,10.01,1424,18,0,118
Principado de Asturias,2020-05-27,2399,2.25,310,0,0,118
Región de Murcia,2020-05-27,1588,3.15,148,1,0,118
Andalucía,2020-05-28,12639,1.64,1404,30,0,119
Aragón,2020-05-28,5656,19.18,826,18,0,119
Cantabria,2020-05-28,2297,6.88,202,8,0,119
Castilla y León,2020-05-28,18682,23.25,1922,51,0,119
Castilla-La Mancha,2020-05-28,17068,19.68,2945,84,0,119
Cataluña,2020-05-28,58427,39.39,5584,678,1,119
Ceuta,2020-05-28,129,14.15,4,0,0,119
Comunidad de Madrid,2020-05-28,68451,25.33,8691,185,0,119
Comunidad Foral de Navarra,2020-05-28,5223,20.64,490,17,0,119
Comunidad Valenciana,2020-05-28,11160,5.58,1332,60,0,119
España,2020-05-28,237906,15.03,27119,1137,1,119
Extremadura,2020-05-28,2961,2.62,507,6,0,119
Galicia,2020-05-28,9115,3.15,608,2,0,119
Islas Baleares,2020-05-28,2124,9.13,209,6,0,119
Islas Canarias,2020-05-28,2327,2.55,151,1,0,119
La Rioja,2020-05-28,4044,8.52,360,0,0,119
Melilla,2020-05-28,121,2.31,2,0,0,119
País Vasco,2020-05-28,13489,7.65,1424,-15,0,119
Principado de Asturias,2020-05-28,2400,2.25,310,1,0,119
Región de Murcia,2020-05-28,1593,3.28,148,5,0,119
Andalucía,2020-05-29,12655,1.71,1404,16,0,120
Aragón,2020-05-29,5671,18.49,826,15,0,120
Cantabria,2020-05-29,2298,6.71,202,1,0,120
Castilla y León,2020-05-29,18747,23.71,1922,65,0,120
Castilla-La Mancha,2020-05-29,17122,19.68,2945,54,0,120
Cataluña,2020-05-29,58699,39.62,5584,272,0,120
Ceuta,2020-05-29,145,33.03,4,16,0,120
Comunidad de Madrid,2020-05-29,68597,24.01,8691,146,0,120
Comunidad Foral de Navarra,2020-05-29,5238,19.72,490,15,0,120
Comunidad Valenciana,2020-05-29,11191,5.6,1334,31,2,120
España,2020-05-29,238564,14.79,27121,658,2,120
Extremadura,2020-05-29,2963,2.62,507,2,0,120
Galicia,2020-05-29,9117,3.11,608,2,0,120
Islas Baleares,2020-05-29,2129,6.61,209,5,0,120
Islas Canarias,2020-05-29,2333,2.65,151,6,0,120
La Rioja,2020-05-29,4048,9.15,360,4,0,120
Melilla,2020-05-29,121,2.31,2,0,0,120
País Vasco,2020-05-29,13494,6.61,1424,5,0,120
Principado de Asturias,2020-05-29,2401,1.66,310,1,0,120
Región de Murcia,2020-05-29,1595,2.88,148,2,0,120
Andalucía,2020-05-30,12668,1.63,1404,13,0,121
Aragón,2020-05-30,5680,17.28,826,9,0,121
Cantabria,2020-05-30,2298,6.71,202,0,0,121
Castilla y León,2020-05-30,18804,23.67,1923,57,1,121
Castilla-La Mancha,2020-05-30,17184,20.37,2945,62,0,121
Cataluña,2020-05-30,59003,39.74,5587,304,3,121
Ceuta,2020-05-30,145,33.03,4,0,0,121
Comunidad de Madrid,2020-05-30,68740,23.52,8691,143,0,121
Comunidad Foral de Navarra,2020-05-30,5247,19.87,490,9,0,121
Comunidad Valenciana,2020-05-30,11199,5.14,1332,8,-2,121
España,2020-05-30,239228,14.65,27125,664,4,121
Extremadura,2020-05-30,2964,2.44,508,1,1,121
Galicia,2020-05-30,9120,2.85,609,3,1,121
Islas Baleares,2020-05-30,2137,6,209,8,0,121
Islas Canarias,2020-05-30,2343,2.88,151,10,0,121
La Rioja,2020-05-30,4051,7.89,360,3,0,121
Melilla,2020-05-30,121,2.31,2,0,0,121
País Vasco,2020-05-30,13506,6.25,1424,12,0,121
Principado de Asturias,2020-05-30,2421,3.42,310,20,0,121
Región de Murcia,2020-05-30,1597,2.61,148,2,0,121
Andalucía,2020-05-31,12673,1.57,1404,5,0,122
Aragón,2020-05-31,5691,17.21,826,11,0,122
Cantabria,2020-05-31,2303,6.88,202,5,0,122
Castilla y León,2020-05-31,18863,24.63,1924,59,1,122
Castilla-La Mancha,2020-05-31,17234,21.6,2945,50,0,122
Cataluña,2020-05-31,59013,39.74,5587,10,0,122
Ceuta,2020-05-31,145,33.03,4,0,0,122
Comunidad de Madrid,2020-05-31,68830,24.36,8691,90,0,122
Comunidad Foral de Navarra,2020-05-31,5254,20.02,490,7,0,122
Comunidad Valenciana,2020-05-31,11201,4.6,1332,2,0,122
España,2020-05-31,239429,14.77,27127,201,2,122
Extremadura,2020-05-31,2966,2.53,508,2,0,122
Galicia,2020-05-31,9119,2.67,609,-1,0,122
Islas Baleares,2020-05-31,2141,5.92,209,4,0,122
Islas Canarias,2020-05-31,2345,2.74,151,2,0,122
La Rioja,2020-05-31,4051,7.58,361,0,1,122
Melilla,2020-05-31,121,0,2,0,0,122
País Vasco,2020-05-31,13508,5.75,1424,2,0,122
Principado de Asturias,2020-05-31,2424,3.72,310,3,0,122
Región de Murcia,2020-05-31,1597,2.54,148,0,0,122
Andalucía,2020-06-01,12679,1.59,1404,6,0,123
Aragón,2020-06-01,5695,16.52,826,4,0,123
Cantabria,2020-06-01,2303,6.54,202,0,0,123
Castilla y León,2020-06-01,18907,25.84,1924,44,0,123
Castilla-La Mancha,2020-06-01,17259,21.99,2945,25,0,123
Cataluña,2020-06-01,59019,34.23,5587,6,0,123
Ceuta,2020-06-01,146,33.03,4,1,0,123
Comunidad de Madrid,2020-06-01,68852,24.16,8691,22,0,123
Comunidad Foral de Navarra,2020-06-01,5259,17.12,490,5,0,123
Comunidad Valenciana,2020-06-01,11228,4.8,1332,27,0,123
España,2020-06-01,239638,13.87,27127,209,0,123
Extremadura,2020-06-01,2966,2.44,508,0,0,123
Galicia,2020-06-01,9129,2.89,609,10,0,123
Islas Baleares,2020-06-01,2142,5.83,209,1,0,123
Islas Canarias,2020-06-01,2347,2.79,151,2,0,123
La Rioja,2020-06-01,4051,7.58,361,0,0,123
Melilla,2020-06-01,121,0,2,0,0,123
País Vasco,2020-06-01,13511,5.66,1424,3,0,123
Principado de Asturias,2020-06-01,2425,3.52,310,1,0,123
Región de Murcia,2020-06-01,1599,2.28,148,2,0,123
Andalucía,2020-06-02,12708,1.72,1404,29,0,124
Aragón,2020-06-02,5711,15.46,826,16,0,124
Cantabria,2020-06-02,2314,6.88,202,11,0,124
Castilla y León,2020-06-02,18925,24.92,1924,18,0,124
Castilla-La Mancha,2020-06-02,17310,22.23,2945,51,0,124
Cataluña,2020-06-02,59035,32.25,5587,16,0,124
Ceuta,2020-06-02,155,41.28,4,9,0,124
Comunidad de Madrid,2020-06-02,68960,23.38,8691,108,0,124
Comunidad Foral de Navarra,2020-06-02,5259,16.2,490,0,0,124
Comunidad Valenciana,2020-06-02,11238,4.7,1332,10,0,124
España,2020-06-02,239932,13.32,27127,294,0,124
Extremadura,2020-06-02,2971,2.62,508,5,0,124
Galicia,2020-06-02,9130,2.56,609,1,0,124
Islas Baleares,2020-06-02,2150,5.22,209,8,0,124
Islas Canarias,2020-06-02,2351,2.93,151,4,0,124
La Rioja,2020-06-02,4052,6,361,1,0,124
Melilla,2020-06-02,122,1.16,2,1,0,124
País Vasco,2020-06-02,13513,4.8,1424,2,0,124
Principado de Asturias,2020-06-02,2425,3.23,310,0,0,124
Región de Murcia,2020-06-02,1603,2.48,148,4,0,124
Andalucía,2020-06-03,12726,1.78,1404,18,0,125
Aragón,2020-06-03,5731,15.16,826,20,0,125
Cantabria,2020-06-03,2316,6.2,202,2,0,125
Castilla y León,2020-06-03,18956,23.88,1925,31,1,125
Castilla-La Mancha,2020-06-03,17355,21.15,2945,45,0,125
Cataluña,2020-06-03,59112,29.98,5587,77,0,125
Ceuta,2020-06-03,155,40.11,4,0,0,125
Comunidad de Madrid,2020-06-03,69112,22.75,8691,152,0,125
Comunidad Foral de Navarra,2020-06-03,5261,15.13,490,2,0,125
Comunidad Valenciana,2020-06-03,11254,4.58,1332,16,0,125
España,2020-06-03,240326,12.67,27128,394,1,125
Extremadura,2020-06-03,2974,2.62,508,3,0,125
Galicia,2020-06-03,9132,2.37,609,2,0,125
Islas Baleares,2020-06-03,2157,5.05,209,7,0,125
Islas Canarias,2020-06-03,2357,2.65,151,6,0,125
La Rioja,2020-06-03,4053,5.37,361,1,0,125
Melilla,2020-06-03,122,1.16,2,0,0,125
País Vasco,2020-06-03,13523,4.48,1424,10,0,125
Principado de Asturias,2020-06-03,2425,3.13,310,0,0,125
Región de Murcia,2020-06-03,1605,2.28,148,2,0,125
Andalucía,2020-06-04,12743,1.68,1404,17,0,126
Aragón,2020-06-04,5734,14.1,826,3,0,126
Cantabria,2020-06-04,2316,5.85,202,0,0,126
Castilla y León,2020-06-04,19009,24.34,1928,53,3,126
Castilla-La Mancha,2020-06-04,17393,20.96,2945,38,0,126
Cataluña,2020-06-04,59163,29.21,5587,51,0,126
Ceuta,2020-06-04,163,48.36,4,8,0,126
Comunidad de Madrid,2020-06-04,69236,21.4,8691,124,0,126
Comunidad Foral de Navarra,2020-06-04,5265,15.29,490,4,0,126
Comunidad Valenciana,2020-06-04,11265,4.06,1332,11,0,126
España,2020-06-04,240660,12.24,27133,334,5,126
Extremadura,2020-06-04,2973,2.34,508,-1,0,126
Galicia,2020-06-04,9134,2.04,609,2,0,126
Islas Baleares,2020-06-04,2164,4.87,209,7,0,126
Islas Canarias,2020-06-04,2361,2.6,151,4,0,126
La Rioja,2020-06-04,4054,5.68,362,1,1,126
Melilla,2020-06-04,122,1.16,2,0,0,126
País Vasco,2020-06-04,13527,4.21,1424,4,0,126
Principado de Asturias,2020-06-04,2425,3.13,311,0,1,126
Región de Murcia,2020-06-04,1613,2.54,148,8,0,126
Andalucía,2020-06-05,12759,1.69,1404,16,0,127
Aragón,2020-06-05,5757,14.17,826,23,0,127
Cantabria,2020-06-05,2320,5.85,202,4,0,127
Castilla y León,2020-06-05,19042,23.38,1928,33,0,127
Castilla-La Mancha,2020-06-05,17431,21.35,2945,38,0,127
Cataluña,2020-06-05,59182,26.93,5587,19,0,127
Ceuta,2020-06-05,163,44.82,4,0,0,127
Comunidad de Madrid,2020-06-05,69423,21.58,8691,187,0,127
Comunidad Foral de Navarra,2020-06-05,5275,16.05,490,10,0,127
Comunidad Valenciana,2020-06-05,11285,4.06,1332,20,0,127
España,2020-06-05,240978,11.81,27134,318,1,127
Extremadura,2020-06-05,2976,2.44,508,3,0,127
Galicia,2020-06-05,9146,1.74,609,12,0,127
Islas Baleares,2020-06-05,2110,4.78,209,-54,0,127
Islas Canarias,2020-06-05,2362,2.37,151,1,0,127
La Rioja,2020-06-05,4056,5.37,362,2,0,127
Melilla,2020-06-05,122,1.16,2,0,0,127
País Vasco,2020-06-05,13529,3.67,1424,2,0,127
Principado de Asturias,2020-06-05,2424,3.03,312,-1,1,127
Región de Murcia,2020-06-05,1616,2.48,148,3,0,127
Andalucía,2020-06-06,12776,1.81,1404,17,0,128
Aragón,2020-06-06,5770,13.95,826,13,0,128
Cantabria,2020-06-06,2320,5.85,202,0,0,128
Castilla y León,2020-06-06,19104,23.13,1928,62,0,128
Castilla-La Mancha,2020-06-06,17472,20.02,2945,41,0,128
Cataluña,2020-06-06,59199,24.03,5587,17,0,128
Ceuta,2020-06-06,163,44.82,4,0,0,128
Comunidad de Madrid,2020-06-06,69562,21.76,8691,139,0,128
Comunidad Foral de Navarra,2020-06-06,5285,16.97,490,10,0,128
Comunidad Valenciana,2020-06-06,11300,3.88,1332,15,0,128
España,2020-06-06,241310,11.25,27135,332,1,128
Extremadura,2020-06-06,2977,2.15,508,1,0,128
Galicia,2020-06-06,9144,1.44,609,-2,0,128
Islas Baleares,2020-06-06,2118,4.7,209,8,0,128
Islas Canarias,2020-06-06,2364,2.32,151,2,0,128
La Rioja,2020-06-06,4057,5.37,362,1,0,128
Melilla,2020-06-06,122,1.16,2,0,0,128
País Vasco,2020-06-06,13535,3.26,1424,6,0,128
Principado de Asturias,2020-06-06,2426,3.23,313,2,1,128
Región de Murcia,2020-06-06,1616,2.28,148,0,0,128
Andalucía,2020-06-07,12783,1.81,1404,7,0,129
Aragón,2020-06-07,5781,13.49,826,11,0,129
Cantabria,2020-06-07,2321,5.68,202,1,0,129
Castilla y León,2020-06-07,19161,24.09,1928,57,0,129
Castilla-La Mancha,2020-06-07,17505,20.22,2945,33,0,129
Cataluña,2020-06-07,59209,25.18,5587,10,0,129
Ceuta,2020-06-07,163,44.82,4,0,0,129
Comunidad de Madrid,2020-06-07,69641,22.24,8691,79,0,129
Comunidad Foral de Navarra,2020-06-07,5288,15.29,490,3,0,129
Comunidad Valenciana,2020-06-07,11314,3.98,1332,14,0,129
España,2020-06-07,241550,11.52,27136,240,1,129
Extremadura,2020-06-07,2977,2.15,508,0,0,129
Galicia,2020-06-07,9145,1.04,609,1,0,129
Islas Baleares,2020-06-07,2125,4.35,209,7,0,129
Islas Canarias,2020-06-07,2369,2.51,151,5,0,129
La Rioja,2020-06-07,4061,6.63,362,4,0,129
Melilla,2020-06-07,122,1.16,2,0,0,129
País Vasco,2020-06-07,13542,3.4,1424,7,0,129
Principado de Asturias,2020-06-07,2427,3.13,314,1,1,129
Región de Murcia,2020-06-07,1616,2.01,148,0,0,129
Andalucía,2020-06-08,12785,1.79,1404,2,0,130
Aragón,2020-06-08,5785,13.49,826,4,0,130
Cantabria,2020-06-08,2323,5.33,202,2,0,130
Castilla y León,2020-06-08,19181,24.34,1928,20,0,130
Castilla-La Mancha,2020-06-08,17543,21.25,2945,38,0,130
Cataluña,2020-06-08,59215,24.76,5587,6,0,130
Ceuta,2020-06-08,163,44.82,4,0,0,130
Comunidad de Madrid,2020-06-08,69695,22.78,8691,54,0,130
Comunidad Foral de Navarra,2020-06-08,5294,15.29,490,6,0,130
Comunidad Valenciana,2020-06-08,11332,3.9,1332,18,0,130
España,2020-06-08,241717,11.58,27136,167,0,130
Extremadura,2020-06-08,2977,2.15,508,0,0,130
Galicia,2020-06-08,9141,1,609,-4,0,130
Islas Baleares,2020-06-08,2133,4.96,209,8,0,130
Islas Canarias,2020-06-08,2370,2.46,151,1,0,130
La Rioja,2020-06-08,4062,6.63,362,1,0,130
Melilla,2020-06-08,122,1.16,2,0,0,130
País Vasco,2020-06-08,13548,3.58,1424,6,0,130
Principado de Asturias,2020-06-08,2429,3.13,314,2,0,130
Región de Murcia,2020-06-08,1619,1.81,148,3,0,130
Andalucía,2020-06-09,12791,1.77,1404,6,0,131
Aragón,2020-06-09,5792,12.13,826,7,0,131
Cantabria,2020-06-09,2324,4.47,202,1,0,131
Castilla y León,2020-06-09,19193,23.17,1928,12,0,131
Castilla-La Mancha,2020-06-09,17609,22.58,2945,66,0,131
Cataluña,2020-06-09,59232,22.97,5587,17,0,131
Ceuta,2020-06-09,163,40.11,4,0,0,131
Comunidad de Madrid,2020-06-09,69804,22.77,8691,109,0,131
Comunidad Foral de Navarra,2020-06-09,5295,14.67,490,1,0,131
Comunidad Valenciana,2020-06-09,11342,3.88,1332,10,0,131
España,2020-06-09,241966,11.2,27136,249,0,131
Extremadura,2020-06-09,2978,1.97,508,1,0,131
Galicia,2020-06-09,9148,0.96,609,7,0,131
Islas Baleares,2020-06-09,2135,4.96,209,2,0,131
Islas Canarias,2020-06-09,2372,2.28,151,2,0,131
La Rioja,2020-06-09,4062,5.68,362,0,0,131
Melilla,2020-06-09,122,1.16,2,0,0,131
País Vasco,2020-06-09,13555,3.58,1424,7,0,131
Principado de Asturias,2020-06-09,2430,3.23,314,1,0,131
Región de Murcia,2020-06-09,1619,1.81,148,0,0,131
Andalucía,2020-06-10,12800,1.78,1404,9,0,132
Aragón,2020-06-10,5806,12.05,826,14,0,132
Cantabria,2020-06-10,2324,3.96,202,0,0,132
Castilla y León,2020-06-10,19222,21.25,1928,29,0,132
Castilla-La Mancha,2020-06-10,17640,21.45,2945,31,0,132
Cataluña,2020-06-10,59298,21.28,5587,66,0,132
Ceuta,2020-06-10,163,38.93,4,0,0,132
Comunidad de Madrid,2020-06-10,69895,21.82,8691,91,0,132
Comunidad Foral de Navarra,2020-06-10,5299,14.22,490,4,0,132
Comunidad Valenciana,2020-06-10,11361,3.92,1332,19,0,132
España,2020-06-10,242280,10.66,27136,314,0,132
Extremadura,2020-06-10,2982,2.15,508,4,0,132
Galicia,2020-06-10,9153,1,609,5,0,132
Islas Baleares,2020-06-10,2137,4.44,209,2,0,132
Islas Canarias,2020-06-10,2372,2.14,151,0,0,132
La Rioja,2020-06-10,4063,6,362,1,0,132
Melilla,2020-06-10,122,1.16,2,0,0,132
País Vasco,2020-06-10,13588,4.35,1424,33,0,132
Principado de Asturias,2020-06-10,2431,3.23,314,1,0,132
Región de Murcia,2020-06-10,1624,2.01,148,5,0,132
Andalucía,2020-06-11,12804,1.66,1404,4,0,133
Aragón,2020-06-11,5812,11.22,826,6,0,133
Cantabria,2020-06-11,2327,3.61,202,3,0,133
Castilla y León,2020-06-11,19254,20.88,1928,32,0,133
Castilla-La Mancha,2020-06-11,17702,22.14,2945,62,0,133
Cataluña,2020-06-11,59423,20.05,5587,125,0,133
Ceuta,2020-06-11,163,28.31,4,0,0,133
Comunidad de Madrid,2020-06-11,70051,21.84,8691,156,0,133
Comunidad Foral de Navarra,2020-06-11,5303,12.38,490,4,0,133
Comunidad Valenciana,2020-06-11,11381,3.98,1332,20,0,133
España,2020-06-11,242707,10.36,27136,427,0,133
Extremadura,2020-06-11,2983,1.97,508,1,0,133
Galicia,2020-06-11,9154,0.93,609,1,0,133
Islas Baleares,2020-06-11,2142,4.18,209,5,0,133
Islas Canarias,2020-06-11,2371,2,151,-1,0,133
La Rioja,2020-06-11,4063,6,362,0,0,133
Melilla,2020-06-11,122,1.16,2,0,0,133
País Vasco,2020-06-11,13595,4.48,1424,7,0,133
Principado de Asturias,2020-06-11,2431,3.13,314,0,0,133
Región de Murcia,2020-06-11,1626,1.87,148,2,0,133
Andalucía,2020-06-12,12814,1.63,1404,10,0,134
Aragón,2020-06-12,5833,11.22,826,21,0,134
Cantabria,2020-06-12,2327,3.44,202,0,0,134
Castilla y León,2020-06-12,19296,19.59,1928,42,0,134
Castilla-La Mancha,2020-06-12,17740,20.41,2945,38,0,134
Cataluña,2020-06-12,59593,19.04,5587,170,0,134
Ceuta,2020-06-12,163,21.23,4,0,0,134
Comunidad de Madrid,2020-06-12,70231,22.68,8691,180,0,134
Comunidad Foral de Navarra,2020-06-12,5308,10.85,490,5,0,134
Comunidad Valenciana,2020-06-12,11389,3.84,1332,8,0,134
España,2020-06-12,243209,10.1,27136,502,0,134
Extremadura,2020-06-12,2984,1.78,508,1,0,134
Galicia,2020-06-12,9157,0.96,609,3,0,134
Islas Baleares,2020-06-12,2146,3.74,209,4,0,134
Islas Canarias,2020-06-12,2374,1.81,151,3,0,134
La Rioja,2020-06-12,4066,5.68,362,3,0,134
Melilla,2020-06-12,122,1.16,2,0,0,134
País Vasco,2020-06-12,13603,4.44,1424,8,0,134
Principado de Asturias,2020-06-12,2435,3.32,314,4,0,134
Región de Murcia,2020-06-12,1628,1.87,148,2,0,134
Andalucía,2020-06-13,12823,1.58,1404,9,0,135
Aragón,2020-06-13,5836,10.54,826,3,0,135
Cantabria,2020-06-13,2332,3.79,202,5,0,135
Castilla y León,2020-06-13,19324,17.8,1928,28,0,135
Castilla-La Mancha,2020-06-13,17776,18.79,2945,36,0,135
Cataluña,2020-06-13,59706,17.3,5587,113,0,135
Ceuta,2020-06-13,163,21.23,4,0,0,135
Comunidad de Madrid,2020-06-13,70398,22.59,8691,167,0,135
Comunidad Foral de Navarra,2020-06-13,5311,9.94,490,3,0,135
Comunidad Valenciana,2020-06-13,11393,3.54,1332,4,0,135
España,2020-06-13,243605,9.52,27136,396,0,135
Extremadura,2020-06-13,2985,1.78,508,1,0,135
Galicia,2020-06-13,9158,0.85,609,1,0,135
Islas Baleares,2020-06-13,2152,3.83,209,6,0,135
Islas Canarias,2020-06-13,2377,1.49,151,3,0,135
La Rioja,2020-06-13,4067,5.05,362,1,0,135
Melilla,2020-06-13,123,2.31,2,1,0,135
País Vasco,2020-06-13,13616,4.71,1424,13,0,135
Principado de Asturias,2020-06-13,2437,1.56,314,2,0,135
Región de Murcia,2020-06-13,1628,1.67,148,0,0,135
Andalucía,2020-06-14,12827,1.47,1404,4,0,136
Aragón,2020-06-14,5840,10.01,826,4,0,136
Cantabria,2020-06-14,2334,3.79,202,2,0,136
Castilla y León,2020-06-14,19343,16.54,1928,19,0,136
Castilla-La Mancha,2020-06-14,17803,17.91,2945,27,0,136
Cataluña,2020-06-14,59820,17.56,5587,114,0,136
Ceuta,2020-06-14,163,21.23,4,0,0,136
Comunidad de Madrid,2020-06-14,70521,22.6,8691,123,0,136
Comunidad Foral de Navarra,2020-06-14,5311,8.87,490,0,0,136
Comunidad Valenciana,2020-06-14,11404,3.52,1332,11,0,136
España,2020-06-14,243928,9.43,27136,323,0,136
Extremadura,2020-06-14,2987,1.78,508,2,0,136
Galicia,2020-06-14,9159,0.81,609,1,0,136
Islas Baleares,2020-06-14,2154,4,209,2,0,136
Islas Canarias,2020-06-14,2378,1.44,151,1,0,136
La Rioja,2020-06-14,4068,5.37,362,1,0,136
Melilla,2020-06-14,124,3.47,2,1,0,136
País Vasco,2020-06-14,13626,5.03,1424,10,0,136
Principado de Asturias,2020-06-14,2437,1.37,314,0,0,136
Región de Murcia,2020-06-14,1629,1.74,148,1,0,136
Andalucía,2020-06-15,12830,1.39,1404,3,0,137
Aragón,2020-06-15,5842,9.93,826,2,0,137
Cantabria,2020-06-15,2334,3.79,202,0,0,137
Castilla y León,2020-06-15,19353,16.09,1928,10,0,137
Castilla-La Mancha,2020-06-15,17811,17.36,2945,8,0,137
Cataluña,2020-06-15,59897,18.19,5587,77,0,137
Ceuta,2020-06-15,163,20.05,4,0,0,137
Comunidad de Madrid,2020-06-15,70570,22.23,8691,49,0,137
Comunidad Foral de Navarra,2020-06-15,5311,8.1,490,0,0,137
Comunidad Valenciana,2020-06-15,11418,3.62,1332,14,0,137
España,2020-06-15,244109,9.44,27136,181,0,137
Extremadura,2020-06-15,2988,1.87,508,1,0,137
Galicia,2020-06-15,9160,0.85,609,1,0,137
Islas Baleares,2020-06-15,2157,4.09,209,3,0,137
Islas Canarias,2020-06-15,2378,1.39,151,0,0,137
La Rioja,2020-06-15,4069,5.68,362,1,0,137
Melilla,2020-06-15,124,3.47,2,0,0,137
País Vasco,2020-06-15,13638,5.57,1424,12,0,137
Principado de Asturias,2020-06-15,2437,1.17,314,0,0,137
Región de Murcia,2020-06-15,1629,1.74,148,0,0,137
Andalucía,2020-06-16,12835,1.22,1404,5,0,138
Aragón,2020-06-16,5845,9.55,826,3,0,138
Cantabria,2020-06-16,2336,3.79,202,2,0,138
Castilla y León,2020-06-16,19365,15.13,1928,12,0,138
Castilla-La Mancha,2020-06-16,17828,17.02,2945,17,0,138
Cataluña,2020-06-16,59944,18.08,5587,47,0,138
Ceuta,2020-06-16,163,9.44,4,0,0,138
Comunidad de Madrid,2020-06-16,70675,21.43,8691,105,0,138
Comunidad Foral de Navarra,2020-06-16,5312,8.1,490,1,0,138
Comunidad Valenciana,2020-06-16,11421,3.48,1332,3,0,138
España,2020-06-16,244328,9.18,27136,219,0,138
Extremadura,2020-06-16,2990,1.69,508,2,0,138
Galicia,2020-06-16,9161,0.89,609,1,0,138
Islas Baleares,2020-06-16,2163,4.35,209,6,0,138
Islas Canarias,2020-06-16,2382,1.35,151,4,0,138
La Rioja,2020-06-16,4069,5.37,362,0,0,138
Melilla,2020-06-16,124,2.31,2,0,0,138
País Vasco,2020-06-16,13648,5.75,1424,10,0,138
Principado de Asturias,2020-06-16,2438,1.27,314,1,0,138
Región de Murcia,2020-06-16,1629,1.61,148,0,0,138
Andalucía,2020-06-17,12839,1.08,1404,4,0,139
Aragón,2020-06-17,5850,8.34,826,5,0,139
Cantabria,2020-06-17,2338,3.79,202,2,0,139
Castilla y León,2020-06-17,19407,15.29,1928,42,0,139
Castilla-La Mancha,2020-06-17,17845,15.99,2945,17,0,139
Cataluña,2020-06-17,60030,17.72,5587,86,0,139
